session_id,src_ip,dst_ip,src_port,dst_port,start_time,end_time,duration,packet_count,total_bytes,avg_packet_size,syn_count,ack_count,fin_count,rst_count,psh_count,handshake_complete,proper_close,ttl_values,ttl_mean,ttl_std,ttl_min,ttl_max,window_mean,window_std,window_min,window_max,mss,window_scale,sack_permitted,has_timestamps
192.168.1.1:1117-211.8.0.252:80,192.168.1.1,211.8.0.252,1117,80,1160011520.762456,1160011520.768604,0.006148099899291992,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1118-211.8.0.252:80,192.168.1.1,211.8.0.252,1118,80,1160011520.762569,1160011520.769077,0.0065081119537353516,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1119-211.8.0.252:80,192.168.1.1,211.8.0.252,1119,80,1160011520.771456,1160011520.777869,0.006412982940673828,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1120-211.8.0.252:80,192.168.1.1,211.8.0.252,1120,80,1160011520.771535,1160011520.781512,0.009977102279663086,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1121-211.8.0.252:80,192.168.1.1,211.8.0.252,1121,80,1160011520.779726,1160011520.786411,0.006685018539428711,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1122-211.8.0.252:80,192.168.1.1,211.8.0.252,1122,80,1160011520.781562,1160011520.791946,0.010383844375610352,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1123-202.189.151.5:80,192.168.1.1,202.189.151.5,1123,80,1160011520.783117,1160011520.788001,0.004884004592895508,5,372,74.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1124-202.189.151.5:80,192.168.1.1,202.189.151.5,1124,80,1160011520.786494,1160011520.793469,0.006974935531616211,5,372,74.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1125-203.140.25.50:80,192.168.1.1,203.140.25.50,1125,80,1160011520.790056,1160011520.79617,0.006114006042480469,5,381,76.2,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1126-203.140.25.50:80,192.168.1.1,203.140.25.50,1126,80,1160011520.79352,1160011520.798879,0.00535893440246582,5,381,76.2,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1127-202.189.151.5:80,192.168.1.1,202.189.151.5,1127,80,1160011520.795559,1160011520.801778,0.006219148635864258,5,372,74.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1128-203.140.25.50:80,192.168.1.1,203.140.25.50,1128,80,1160011520.797671,1160011520.804405,0.006733894348144531,5,381,76.2,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1129-203.140.25.50:80,192.168.1.1,203.140.25.50,1129,80,1160011520.799977,1160011520.80779,0.007812976837158203,5,381,76.2,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1130-203.140.25.50:80,192.168.1.1,203.140.25.50,1130,80,1160011520.804456,1160011520.810842,0.0063860416412353516,5,381,76.2,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1131-211.8.0.252:80,192.168.1.1,211.8.0.252,1131,80,1160011520.805839,1160011520.812329,0.006489992141723633,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1132-211.8.0.252:80,192.168.1.1,211.8.0.252,1132,80,1160011520.807902,1160011520.816694,0.008791923522949219,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1133-203.140.25.50:80,192.168.1.1,203.140.25.50,1133,80,1160011520.812173,1160011520.817891,0.0057179927825927734,5,381,76.2,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
192.168.1.1:1134-211.8.0.252:80,192.168.1.1,211.8.0.252,1134,80,1160011520.819802,1160011520.82502,0.005218029022216797,5,392,78.4,1,4,1,0,1,False,True,"[128, 128, 128, 128, 128]",128.0,0.0,128,128,64975.4,766.2638579497274,64136.0,65535.0,1460.0,,True,False
202.189.151.5:80-192.168.1.1:1108,202.189.151.5,192.168.1.1,80,1108,1160011517.57177,1160011517.583088,0.011317968368530273,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
