frame_number,timestamp,packet_length,src_ip,dst_ip,protocol,ttl,ip_len,src_port,dst_port,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_dataofs,tcp_options_raw,tcp_mss,tcp_window_scale,tcp_sack_permitted,tcp_timestamps
37,1160011515.714953,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161391.0,3112056424.0,A,5840.0,5.0,[],,,False,
38,1160011516.130081,139,192.168.1.254,192.168.1.1,17,64,125,53,1025,,,,,,,,,,
39,1160011516.13111,62,192.168.1.1,61.121.100.107,6,128,48,1102,80,2281390885.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
40,1160011516.131218,62,61.121.100.107,192.168.1.1,6,64,48,80,1102,3406673266.0,2281390886.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
41,1160011516.131533,60,192.168.1.1,61.121.100.107,6,128,40,1102,80,2281390886.0,3406673267.0,A,65535.0,5.0,[],,,False,
42,1160011516.131582,131,192.168.1.1,61.121.100.107,6,128,117,1102,80,2281390886.0,3406673267.0,PA,65535.0,5.0,[],,,False,
43,1160011516.131625,54,61.121.100.107,192.168.1.1,6,64,40,80,1102,3406673267.0,2281390963.0,A,5840.0,5.0,[],,,False,
44,1160011516.132823,62,192.168.1.1,61.121.100.107,6,128,48,1103,80,2093769528.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
45,1160011516.132866,62,61.121.100.107,192.168.1.1,6,64,48,80,1103,3400867192.0,2093769529.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
46,1160011516.133229,60,192.168.1.1,61.121.100.107,6,128,40,1103,80,2093769529.0,3400867193.0,A,65535.0,5.0,[],,,False,
47,1160011516.133267,131,192.168.1.1,61.121.100.107,6,128,117,1103,80,2093769529.0,3400867193.0,PA,65535.0,5.0,[],,,False,
48,1160011516.133294,54,61.121.100.107,192.168.1.1,6,64,40,80,1103,3400867193.0,2093769606.0,A,5840.0,5.0,[],,,False,
49,1160011516.13528,1453,61.121.100.107,192.168.1.1,6,64,1439,80,1102,3406673267.0,2281390963.0,PA,5840.0,5.0,[],,,False,
50,1160011516.135569,54,61.121.100.107,192.168.1.1,6,64,40,80,1102,3406674666.0,2281390963.0,FA,5840.0,5.0,[],,,False,
51,1160011516.13683,60,192.168.1.1,61.121.100.107,6,128,40,1102,80,2281390963.0,3406674667.0,A,64136.0,5.0,[],,,False,
52,1160011516.136936,60,192.168.1.1,61.121.100.107,6,128,40,1102,80,2281390963.0,3406674667.0,FA,64136.0,5.0,[],,,False,
53,1160011516.136982,54,61.121.100.107,192.168.1.1,6,64,40,80,1102,3406674667.0,2281390964.0,A,5840.0,5.0,[],,,False,
54,1160011516.13725,1453,61.121.100.107,192.168.1.1,6,64,1439,80,1103,3400867193.0,2093769606.0,PA,5840.0,5.0,[],,,False,
55,1160011516.137456,54,61.121.100.107,192.168.1.1,6,64,40,80,1103,3400868592.0,2093769606.0,FA,5840.0,5.0,[],,,False,
56,1160011516.137662,62,192.168.1.1,61.121.100.107,6,128,48,1104,80,1560608987.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
57,1160011516.137737,62,61.121.100.107,192.168.1.1,6,64,48,80,1104,3395364274.0,1560608988.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
58,1160011516.137757,60,192.168.1.1,61.121.100.107,6,128,40,1103,80,2093769606.0,3400868593.0,A,64136.0,5.0,[],,,False,
59,1160011516.138326,60,192.168.1.1,61.121.100.107,6,128,40,1104,80,1560608988.0,3395364275.0,A,65535.0,5.0,[],,,False,
60,1160011516.138373,60,192.168.1.1,61.121.100.107,6,128,40,1103,80,2093769606.0,3400868593.0,FA,64136.0,5.0,[],,,False,
61,1160011516.138404,54,61.121.100.107,192.168.1.1,6,64,40,80,1103,3400868593.0,2093769607.0,A,5840.0,5.0,[],,,False,
62,1160011516.138428,131,192.168.1.1,61.121.100.107,6,128,117,1104,80,1560608988.0,3395364275.0,PA,65535.0,5.0,[],,,False,
63,1160011516.138458,54,61.121.100.107,192.168.1.1,6,64,40,80,1104,3395364275.0,1560609065.0,A,5840.0,5.0,[],,,False,
64,1160011516.140423,73,192.168.1.1,192.168.1.254,17,128,59,1025,53,,,,,,,,,,
65,1160011516.1418,1453,61.121.100.107,192.168.1.1,6,64,1439,80,1104,3395364275.0,1560609065.0,PA,5840.0,5.0,[],,,False,
66,1160011516.142047,54,61.121.100.107,192.168.1.1,6,64,40,80,1104,3395365674.0,1560609065.0,FA,5840.0,5.0,[],,,False,
67,1160011516.143321,60,192.168.1.1,61.121.100.107,6,128,40,1104,80,1560609065.0,3395365675.0,A,64136.0,5.0,[],,,False,
68,1160011516.143395,60,192.168.1.1,61.121.100.107,6,128,40,1104,80,1560609065.0,3395365675.0,FA,64136.0,5.0,[],,,False,
69,1160011516.143433,54,61.121.100.107,192.168.1.1,6,64,40,80,1104,3395365675.0,1560609066.0,A,5840.0,5.0,[],,,False,
70,1160011516.714609,95,192.168.1.1,84.244.1.30,6,128,81,1101,5050,3112056424.0,3395161391.0,PA,65466.0,5.0,[],,,False,
71,1160011516.714709,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161391.0,3112056465.0,A,5840.0,5.0,[],,,False,
72,1160011517.004796,180,192.168.1.254,192.168.1.1,17,64,166,53,1025,,,,,,,,,,
73,1160011517.005836,62,192.168.1.1,203.140.25.50,6,128,48,1105,80,1263924015.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
74,1160011517.005934,62,203.140.25.50,192.168.1.1,6,64,48,80,1105,3396274884.0,1263924016.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
75,1160011517.006242,60,192.168.1.1,203.140.25.50,6,128,40,1105,80,1263924016.0,3396274885.0,A,65535.0,5.0,[],,,False,
76,1160011517.006291,62,192.168.1.1,203.140.25.50,6,128,48,1106,80,795913322.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
77,1160011517.006326,62,203.140.25.50,192.168.1.1,6,64,48,80,1106,3411691835.0,795913323.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
78,1160011517.006679,60,192.168.1.1,203.140.25.50,6,128,40,1106,80,795913323.0,3411691836.0,A,65535.0,5.0,[],,,False,
79,1160011517.006727,139,192.168.1.1,203.140.25.50,6,128,125,1106,80,795913323.0,3411691836.0,PA,65535.0,5.0,[],,,False,
80,1160011517.006772,54,203.140.25.50,192.168.1.1,6,64,40,80,1106,3411691836.0,795913408.0,A,5840.0,5.0,[],,,False,
81,1160011517.006783,139,192.168.1.1,203.140.25.50,6,128,125,1105,80,1263924016.0,3396274885.0,PA,65535.0,5.0,[],,,False,
82,1160011517.006811,54,203.140.25.50,192.168.1.1,6,64,40,80,1105,3396274885.0,1263924101.0,A,5840.0,5.0,[],,,False,
83,1160011517.010694,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1105,3396274885.0,1263924101.0,PA,5840.0,5.0,[],,,False,
84,1160011517.010727,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1106,3411691836.0,795913408.0,PA,5840.0,5.0,[],,,False,
85,1160011517.010925,54,203.140.25.50,192.168.1.1,6,64,40,80,1106,3411693235.0,795913408.0,FA,5840.0,5.0,[],,,False,
86,1160011517.01107,54,203.140.25.50,192.168.1.1,6,64,40,80,1105,3396276284.0,1263924101.0,FA,5840.0,5.0,[],,,False,
87,1160011517.011836,60,192.168.1.1,203.140.25.50,6,128,40,1106,80,795913408.0,3411693236.0,A,64136.0,5.0,[],,,False,
