frame_number,timestamp,packet_length,src_ip,dst_ip,protocol,ttl,ip_len,src_port,dst_port,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_dataofs,tcp_options_raw,tcp_mss,tcp_window_scale,tcp_sack_permitted,tcp_timestamps
172,1160011519.334259,60,192.168.1.1,210.153.70.38,6,128,40,1113,80,1585347963.0,3414041708.0,FA,64136.0,5.0,[],,,False,
173,1160011519.334294,54,210.153.70.38,192.168.1.1,6,64,40,80,1113,3414041708.0,1585347964.0,A,5840.0,5.0,[],,,False,
174,1160011519.72031,108,84.244.1.30,192.168.1.1,6,64,94,5050,1101,3395161446.0,3112056523.0,PA,5840.0,5.0,[],,,False,
175,1160011519.85887,60,192.168.1.1,84.244.1.30,6,128,40,1101,5050,3112056523.0,3395161500.0,A,65357.0,5.0,[],,,False,
176,1160011519.871919,159,192.168.1.254,192.168.1.1,17,64,145,53,1025,,,,,,,,,,
177,1160011519.873112,62,192.168.1.1,219.163.5.185,6,128,48,1114,80,3163541525.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
178,1160011519.873195,62,219.163.5.185,192.168.1.1,6,64,48,80,1114,3400690613.0,3163541526.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
179,1160011519.873209,62,192.168.1.1,219.163.5.185,6,128,48,1115,80,1814144140.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
180,1160011519.87325,62,219.163.5.185,192.168.1.1,6,64,48,80,1115,3410536369.0,1814144141.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
181,1160011519.873562,60,192.168.1.1,219.163.5.185,6,128,40,1114,80,3163541526.0,3400690614.0,A,65535.0,5.0,[],,,False,
182,1160011519.873607,60,192.168.1.1,219.163.5.185,6,128,40,1115,80,1814144141.0,3410536370.0,A,65535.0,5.0,[],,,False,
183,1160011519.873634,124,192.168.1.1,219.163.5.185,6,128,110,1115,80,1814144141.0,3410536370.0,PA,65535.0,5.0,[],,,False,
184,1160011519.873666,54,219.163.5.185,192.168.1.1,6,64,40,80,1115,3410536370.0,1814144211.0,A,5840.0,5.0,[],,,False,
185,1160011519.874769,124,192.168.1.1,219.163.5.185,6,128,110,1114,80,3163541526.0,3400690614.0,PA,65535.0,5.0,[],,,False,
186,1160011519.874809,54,219.163.5.185,192.168.1.1,6,64,40,80,1114,3400690614.0,3163541596.0,A,5840.0,5.0,[],,,False,
187,1160011519.877298,1453,219.163.5.185,192.168.1.1,6,64,1439,80,1115,3410536370.0,1814144211.0,PA,5840.0,5.0,[],,,False,
188,1160011519.877582,54,219.163.5.185,192.168.1.1,6,64,40,80,1115,3410537769.0,1814144211.0,FA,5840.0,5.0,[],,,False,
189,1160011519.878251,1453,219.163.5.185,192.168.1.1,6,64,1439,80,1114,3400690614.0,3163541596.0,PA,5840.0,5.0,[],,,False,
190,1160011519.878464,54,219.163.5.185,192.168.1.1,6,64,40,80,1114,3400692013.0,3163541596.0,FA,5840.0,5.0,[],,,False,
191,1160011519.87871,60,192.168.1.1,219.163.5.185,6,128,40,1115,80,1814144211.0,3410537770.0,A,64136.0,5.0,[],,,False,
192,1160011519.878768,60,192.168.1.1,219.163.5.185,6,128,40,1115,80,1814144211.0,3410537770.0,FA,64136.0,5.0,[],,,False,
193,1160011519.878799,54,219.163.5.185,192.168.1.1,6,64,40,80,1115,3410537770.0,1814144212.0,A,5840.0,5.0,[],,,False,
194,1160011519.878828,60,192.168.1.1,219.163.5.185,6,128,40,1114,80,3163541596.0,3400692014.0,A,64136.0,5.0,[],,,False,
195,1160011519.88021,60,192.168.1.1,219.163.5.185,6,128,40,1114,80,3163541596.0,3400692014.0,FA,64136.0,5.0,[],,,False,
196,1160011519.880237,54,219.163.5.185,192.168.1.1,6,64,40,80,1114,3400692014.0,3163541597.0,A,5840.0,5.0,[],,,False,
197,1160011519.880252,62,192.168.1.1,219.163.5.185,6,128,48,1116,80,2228895788.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
198,1160011519.880312,62,219.163.5.185,192.168.1.1,6,64,48,80,1116,3408216775.0,2228895789.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
199,1160011519.881344,60,192.168.1.1,219.163.5.185,6,128,40,1116,80,2228895789.0,3408216776.0,A,65535.0,5.0,[],,,False,
200,1160011519.881393,124,192.168.1.1,219.163.5.185,6,128,110,1116,80,2228895789.0,3408216776.0,PA,65535.0,5.0,[],,,False,
201,1160011519.881425,54,219.163.5.185,192.168.1.1,6,64,40,80,1116,3408216776.0,2228895859.0,A,5840.0,5.0,[],,,False,
202,1160011519.881435,79,192.168.1.1,192.168.1.254,17,128,65,1025,53,,,,,,,,,,
203,1160011519.88529,1453,219.163.5.185,192.168.1.1,6,64,1439,80,1116,3408216776.0,2228895859.0,PA,5840.0,5.0,[],,,False,
204,1160011519.885481,54,219.163.5.185,192.168.1.1,6,64,40,80,1116,3408218175.0,2228895859.0,FA,5840.0,5.0,[],,,False,
205,1160011519.886781,60,192.168.1.1,219.163.5.185,6,128,40,1116,80,2228895859.0,3408218176.0,A,64136.0,5.0,[],,,False,
206,1160011519.886848,60,192.168.1.1,219.163.5.185,6,128,40,1116,80,2228895859.0,3408218176.0,FA,64136.0,5.0,[],,,False,
207,1160011519.886884,54,219.163.5.185,192.168.1.1,6,64,40,80,1116,3408218176.0,2228895860.0,A,5840.0,5.0,[],,,False,
208,1160011520.72019,137,192.168.1.1,84.244.1.30,6,128,123,1101,5050,3112056523.0,3395161500.0,PA,65357.0,5.0,[],,,False,
209,1160011520.720283,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161500.0,3112056606.0,A,5840.0,5.0,[],,,False,
210,1160011520.760952,367,192.168.1.254,192.168.1.1,17,64,353,53,1025,,,,,,,,,,
211,1160011520.762456,62,192.168.1.1,211.8.0.252,6,128,48,1117,80,967169792.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
212,1160011520.762553,62,211.8.0.252,192.168.1.1,6,64,48,80,1117,3412912214.0,967169793.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
213,1160011520.762569,62,192.168.1.1,211.8.0.252,6,128,48,1118,80,1128585036.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
214,1160011520.762602,62,211.8.0.252,192.168.1.1,6,64,48,80,1118,3407065241.0,1128585037.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
215,1160011520.762919,60,192.168.1.1,211.8.0.252,6,128,40,1117,80,967169793.0,3412912215.0,A,65535.0,5.0,[],,,False,
216,1160011520.762967,60,192.168.1.1,211.8.0.252,6,128,40,1118,80,1128585037.0,3407065242.0,A,65535.0,5.0,[],,,False,
217,1160011520.762992,150,192.168.1.1,211.8.0.252,6,128,136,1117,80,967169793.0,3412912215.0,PA,65535.0,5.0,[],,,False,
218,1160011520.763026,54,211.8.0.252,192.168.1.1,6,64,40,80,1117,3412912215.0,967169889.0,A,5840.0,5.0,[],,,False,
219,1160011520.764133,150,192.168.1.1,211.8.0.252,6,128,136,1118,80,1128585037.0,3407065242.0,PA,65535.0,5.0,[],,,False,
220,1160011520.764223,54,211.8.0.252,192.168.1.1,6,64,40,80,1118,3407065242.0,1128585133.0,A,5840.0,5.0,[],,,False,
221,1160011520.767051,1453,211.8.0.252,192.168.1.1,6,64,1439,80,1117,3412912215.0,967169889.0,PA,5840.0,5.0,[],,,False,
222,1160011520.767261,54,211.8.0.252,192.168.1.1,6,64,40,80,1117,3412913614.0,967169889.0,FA,5840.0,5.0,[],,,False,
223,1160011520.768094,1453,211.8.0.252,192.168.1.1,6,64,1439,80,1118,3407065242.0,1128585133.0,PA,5840.0,5.0,[],,,False,
224,1160011520.768303,54,211.8.0.252,192.168.1.1,6,64,40,80,1118,3407066641.0,1128585133.0,FA,5840.0,5.0,[],,,False,
225,1160011520.768545,60,192.168.1.1,211.8.0.252,6,128,40,1117,80,967169889.0,3412913615.0,A,64136.0,5.0,[],,,False,
226,1160011520.768604,60,192.168.1.1,211.8.0.252,6,128,40,1117,80,967169889.0,3412913615.0,FA,64136.0,5.0,[],,,False,
227,1160011520.768633,54,211.8.0.252,192.168.1.1,6,64,40,80,1117,3412913615.0,967169890.0,A,5840.0,5.0,[],,,False,
228,1160011520.768654,60,192.168.1.1,211.8.0.252,6,128,40,1118,80,1128585133.0,3407066642.0,A,64136.0,5.0,[],,,False,
229,1160011520.769077,60,192.168.1.1,211.8.0.252,6,128,40,1118,80,1128585133.0,3407066642.0,FA,64136.0,5.0,[],,,False,
230,1160011520.769109,54,211.8.0.252,192.168.1.1,6,64,40,80,1118,3407066642.0,1128585134.0,A,5840.0,5.0,[],,,False,
231,1160011520.771456,62,192.168.1.1,211.8.0.252,6,128,48,1119,80,2728696960.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
232,1160011520.771522,62,211.8.0.252,192.168.1.1,6,64,48,80,1119,3413082616.0,2728696961.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
233,1160011520.771535,62,192.168.1.1,211.8.0.252,6,128,48,1120,80,590798321.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
234,1160011520.771568,62,211.8.0.252,192.168.1.1,6,64,48,80,1120,3415706094.0,590798322.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
235,1160011520.771719,60,192.168.1.1,211.8.0.252,6,128,40,1119,80,2728696961.0,3413082617.0,A,65535.0,5.0,[],,,False,
236,1160011520.771762,60,192.168.1.1,211.8.0.252,6,128,40,1120,80,590798322.0,3415706095.0,A,65535.0,5.0,[],,,False,
237,1160011520.772966,150,192.168.1.1,211.8.0.252,6,128,136,1119,80,2728696961.0,3413082617.0,PA,65535.0,5.0,[],,,False,
238,1160011520.773001,54,211.8.0.252,192.168.1.1,6,64,40,80,1119,3413082617.0,2728697057.0,A,5840.0,5.0,[],,,False,
239,1160011520.773011,150,192.168.1.1,211.8.0.252,6,128,136,1120,80,590798322.0,3415706095.0,PA,65535.0,5.0,[],,,False,
240,1160011520.773041,54,211.8.0.252,192.168.1.1,6,64,40,80,1120,3415706095.0,590798418.0,A,5840.0,5.0,[],,,False,
241,1160011520.777153,1453,211.8.0.252,192.168.1.1,6,64,1439,80,1119,3413082617.0,2728697057.0,PA,5840.0,5.0,[],,,False,
242,1160011520.777376,54,211.8.0.252,192.168.1.1,6,64,40,80,1119,3413084016.0,2728697057.0,FA,5840.0,5.0,[],,,False,
243,1160011520.777805,60,192.168.1.1,211.8.0.252,6,128,40,1119,80,2728697057.0,3413084017.0,A,64136.0,5.0,[],,,False,
244,1160011520.777869,60,192.168.1.1,211.8.0.252,6,128,40,1119,80,2728697057.0,3413084017.0,FA,64136.0,5.0,[],,,False,
245,1160011520.777902,54,211.8.0.252,192.168.1.1,6,64,40,80,1119,3413084017.0,2728697058.0,A,5840.0,5.0,[],,,False,
246,1160011520.779665,1453,211.8.0.252,192.168.1.1,6,64,1439,80,1120,3415706095.0,590798418.0,PA,5840.0,5.0,[],,,False,
247,1160011520.779726,62,192.168.1.1,211.8.0.252,6,128,48,1121,80,623005599.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
248,1160011520.779833,62,211.8.0.252,192.168.1.1,6,64,48,80,1121,3412049165.0,623005600.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
249,1160011520.780009,54,211.8.0.252,192.168.1.1,6,64,40,80,1120,3415707494.0,590798418.0,FA,5840.0,5.0,[],,,False,
250,1160011520.780168,60,192.168.1.1,211.8.0.252,6,128,40,1121,80,623005600.0,3412049166.0,A,65535.0,5.0,[],,,False,
251,1160011520.780227,60,192.168.1.1,211.8.0.252,6,128,40,1120,80,590798418.0,3415707495.0,A,64136.0,5.0,[],,,False,
252,1160011520.781457,150,192.168.1.1,211.8.0.252,6,128,136,1121,80,623005600.0,3412049166.0,PA,65535.0,5.0,[],,,False,
253,1160011520.781498,54,211.8.0.252,192.168.1.1,6,64,40,80,1121,3412049166.0,623005696.0,A,5840.0,5.0,[],,,False,
254,1160011520.781512,60,192.168.1.1,211.8.0.252,6,128,40,1120,80,590798418.0,3415707495.0,FA,64136.0,5.0,[],,,False,
255,1160011520.781536,54,211.8.0.252,192.168.1.1,6,64,40,80,1120,3415707495.0,590798419.0,A,5840.0,5.0,[],,,False,
256,1160011520.781562,62,192.168.1.1,211.8.0.252,6,128,48,1122,80,3576306643.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
257,1160011520.781607,62,211.8.0.252,192.168.1.1,6,64,48,80,1122,3413968908.0,3576306644.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
258,1160011520.781749,60,192.168.1.1,211.8.0.252,6,128,40,1122,80,3576306644.0,3413968909.0,A,65535.0,5.0,[],,,False,
259,1160011520.783058,150,192.168.1.1,211.8.0.252,6,128,136,1122,80,3576306644.0,3413968909.0,PA,65535.0,5.0,[],,,False,
260,1160011520.783106,54,211.8.0.252,192.168.1.1,6,64,40,80,1122,3413968909.0,3576306740.0,A,5840.0,5.0,[],,,False,
261,1160011520.783117,62,192.168.1.1,202.189.151.5,6,128,48,1123,80,1332475407.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
262,1160011520.783165,62,202.189.151.5,192.168.1.1,6,64,48,80,1123,3410583150.0,1332475408.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
263,1160011520.783438,60,192.168.1.1,202.189.151.5,6,128,40,1123,80,1332475408.0,3410583151.0,A,65535.0,5.0,[],,,False,
264,1160011520.783491,130,192.168.1.1,202.189.151.5,6,128,116,1123,80,1332475408.0,3410583151.0,PA,65535.0,5.0,[],,,False,
265,1160011520.783519,54,202.189.151.5,192.168.1.1,6,64,40,80,1123,3410583151.0,1332475484.0,A,5840.0,5.0,[],,,False,
266,1160011520.784903,1453,211.8.0.252,192.168.1.1,6,64,1439,80,1121,3412049166.0,623005696.0,PA,5840.0,5.0,[],,,False,
267,1160011520.78512,54,211.8.0.252,192.168.1.1,6,64,40,80,1121,3412050565.0,623005696.0,FA,5840.0,5.0,[],,,False,
268,1160011520.786316,60,192.168.1.1,211.8.0.252,6,128,40,1121,80,623005696.0,3412050566.0,A,64136.0,5.0,[],,,False,
269,1160011520.786411,60,192.168.1.1,211.8.0.252,6,128,40,1121,80,623005696.0,3412050566.0,FA,64136.0,5.0,[],,,False,
270,1160011520.786456,54,211.8.0.252,192.168.1.1,6,64,40,80,1121,3412050566.0,623005697.0,A,5840.0,5.0,[],,,False,
271,1160011520.786494,62,192.168.1.1,202.189.151.5,6,128,48,1124,80,4246103504.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
272,1160011520.786584,62,202.189.151.5,192.168.1.1,6,64,48,80,1124,3415219873.0,4246103505.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
273,1160011520.787158,1453,202.189.151.5,192.168.1.1,6,64,1439,80,1123,3410583151.0,1332475484.0,PA,5840.0,5.0,[],,,False,
274,1160011520.787335,54,202.189.151.5,192.168.1.1,6,64,40,80,1123,3410584550.0,1332475484.0,FA,5840.0,5.0,[],,,False,
275,1160011520.787818,60,192.168.1.1,202.189.151.5,6,128,40,1124,80,4246103505.0,3415219874.0,A,65535.0,5.0,[],,,False,
276,1160011520.78791,130,192.168.1.1,202.189.151.5,6,128,116,1124,80,4246103505.0,3415219874.0,PA,65535.0,5.0,[],,,False,
277,1160011520.787956,54,202.189.151.5,192.168.1.1,6,64,40,80,1124,3415219874.0,4246103581.0,A,5840.0,5.0,[],,,False,
278,1160011520.787969,60,192.168.1.1,202.189.151.5,6,128,40,1123,80,1332475484.0,3410584551.0,A,64136.0,5.0,[],,,False,
279,1160011520.788001,60,192.168.1.1,202.189.151.5,6,128,40,1123,80,1332475484.0,3410584551.0,FA,64136.0,5.0,[],,,False,
280,1160011520.788025,54,202.189.151.5,192.168.1.1,6,64,40,80,1123,3410584551.0,1332475485.0,A,5840.0,5.0,[],,,False,
281,1160011520.790056,62,192.168.1.1,203.140.25.50,6,128,48,1125,80,3769416957.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
282,1160011520.790182,62,203.140.25.50,192.168.1.1,6,64,48,80,1125,3405837577.0,3769416958.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
283,1160011520.791132,1453,211.8.0.252,192.168.1.1,6,64,1439,80,1122,3413968909.0,3576306740.0,PA,5840.0,5.0,[],,,False,
284,1160011520.791333,54,211.8.0.252,192.168.1.1,6,64,40,80,1122,3413970308.0,3576306740.0,FA,5840.0,5.0,[],,,False,
285,1160011520.791387,1453,202.189.151.5,192.168.1.1,6,64,1439,80,1124,3415219874.0,4246103581.0,PA,5840.0,5.0,[],,,False,
286,1160011520.791433,60,192.168.1.1,203.140.25.50,6,128,40,1125,80,3769416958.0,3405837578.0,A,65535.0,5.0,[],,,False,
287,1160011520.79154,139,192.168.1.1,203.140.25.50,6,128,125,1125,80,3769416958.0,3405837578.0,PA,65535.0,5.0,[],,,False,
288,1160011520.791587,54,203.140.25.50,192.168.1.1,6,64,40,80,1125,3405837578.0,3769417043.0,A,5840.0,5.0,[],,,False,
289,1160011520.791599,60,192.168.1.1,211.8.0.252,6,128,40,1122,80,3576306740.0,3413970309.0,A,64136.0,5.0,[],,,False,
290,1160011520.79163,54,202.189.151.5,192.168.1.1,6,64,40,80,1124,3415221273.0,4246103581.0,FA,5840.0,5.0,[],,,False,
291,1160011520.791897,60,192.168.1.1,202.189.151.5,6,128,40,1124,80,4246103581.0,3415221274.0,A,64136.0,5.0,[],,,False,
292,1160011520.791946,60,192.168.1.1,211.8.0.252,6,128,40,1122,80,3576306740.0,3413970309.0,FA,64136.0,5.0,[],,,False,
293,1160011520.791974,54,211.8.0.252,192.168.1.1,6,64,40,80,1122,3413970309.0,3576306741.0,A,5840.0,5.0,[],,,False,
294,1160011520.793469,60,192.168.1.1,202.189.151.5,6,128,40,1124,80,4246103581.0,3415221274.0,FA,64136.0,5.0,[],,,False,
295,1160011520.793501,54,202.189.151.5,192.168.1.1,6,64,40,80,1124,3415221274.0,4246103582.0,A,5840.0,5.0,[],,,False,
296,1160011520.79352,62,192.168.1.1,203.140.25.50,6,128,48,1126,80,2576218433.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
297,1160011520.793589,62,203.140.25.50,192.168.1.1,6,64,48,80,1126,3409621083.0,2576218434.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
298,1160011520.793934,60,192.168.1.1,203.140.25.50,6,128,40,1126,80,2576218434.0,3409621084.0,A,65535.0,5.0,[],,,False,
299,1160011520.793977,139,192.168.1.1,203.140.25.50,6,128,125,1126,80,2576218434.0,3409621084.0,PA,65535.0,5.0,[],,,False,
300,1160011520.794004,54,203.140.25.50,192.168.1.1,6,64,40,80,1126,3409621084.0,2576218519.0,A,5840.0,5.0,[],,,False,
301,1160011520.795301,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1125,3405837578.0,3769417043.0,PA,5840.0,5.0,[],,,False,
302,1160011520.795469,54,203.140.25.50,192.168.1.1,6,64,40,80,1125,3405838977.0,3769417043.0,FA,5840.0,5.0,[],,,False,
303,1160011520.795559,62,192.168.1.1,202.189.151.5,6,128,48,1127,80,4134174424.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
304,1160011520.795667,62,202.189.151.5,192.168.1.1,6,64,48,80,1127,3412289467.0,4134174425.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
305,1160011520.796063,60,192.168.1.1,203.140.25.50,6,128,40,1125,80,3769417043.0,3405838978.0,A,64136.0,5.0,[],,,False,
306,1160011520.796126,60,192.168.1.1,202.189.151.5,6,128,40,1127,80,4134174425.0,3412289468.0,A,65535.0,5.0,[],,,False,
307,1160011520.79617,60,192.168.1.1,203.140.25.50,6,128,40,1125,80,3769417043.0,3405838978.0,FA,64136.0,5.0,[],,,False,
308,1160011520.796203,54,203.140.25.50,192.168.1.1,6,64,40,80,1125,3405838978.0,3769417044.0,A,5840.0,5.0,[],,,False,
309,1160011520.797557,130,192.168.1.1,202.189.151.5,6,128,116,1127,80,4134174425.0,3412289468.0,PA,65535.0,5.0,[],,,False,
310,1160011520.797652,54,202.189.151.5,192.168.1.1,6,64,40,80,1127,3412289468.0,4134174501.0,A,5840.0,5.0,[],,,False,
311,1160011520.797671,62,192.168.1.1,203.140.25.50,6,128,48,1128,80,205523720.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
312,1160011520.797761,62,203.140.25.50,192.168.1.1,6,64,48,80,1128,3402338796.0,205523721.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
313,1160011520.79819,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1126,3409621084.0,2576218519.0,PA,5840.0,5.0,[],,,False,
314,1160011520.798386,54,203.140.25.50,192.168.1.1,6,64,40,80,1126,3409622483.0,2576218519.0,FA,5840.0,5.0,[],,,False,
315,1160011520.798575,60,192.168.1.1,203.140.25.50,6,128,40,1128,80,205523721.0,3402338797.0,A,65535.0,5.0,[],,,False,
316,1160011520.798638,139,192.168.1.1,203.140.25.50,6,128,125,1128,80,205523721.0,3402338797.0,PA,65535.0,5.0,[],,,False,
317,1160011520.798665,54,203.140.25.50,192.168.1.1,6,64,40,80,1128,3402338797.0,205523806.0,A,5840.0,5.0,[],,,False,
318,1160011520.798675,60,192.168.1.1,203.140.25.50,6,128,40,1126,80,2576218519.0,3409622484.0,A,64136.0,5.0,[],,,False,
319,1160011520.798879,60,192.168.1.1,203.140.25.50,6,128,40,1126,80,2576218519.0,3409622484.0,FA,64136.0,5.0,[],,,False,
320,1160011520.798914,54,203.140.25.50,192.168.1.1,6,64,40,80,1126,3409622484.0,2576218520.0,A,5840.0,5.0,[],,,False,
321,1160011520.799977,62,192.168.1.1,203.140.25.50,6,128,48,1129,80,906907568.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
322,1160011520.800107,62,203.140.25.50,192.168.1.1,6,64,48,80,1129,3402233500.0,906907569.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
323,1160011520.801061,1453,202.189.151.5,192.168.1.1,6,64,1439,80,1127,3412289468.0,4134174501.0,PA,5840.0,5.0,[],,,False,
324,1160011520.801243,54,202.189.151.5,192.168.1.1,6,64,40,80,1127,3412290867.0,4134174501.0,FA,5840.0,5.0,[],,,False,
325,1160011520.801354,60,192.168.1.1,203.140.25.50,6,128,40,1129,80,906907569.0,3402233501.0,A,65535.0,5.0,[],,,False,
326,1160011520.801486,139,192.168.1.1,203.140.25.50,6,128,125,1129,80,906907569.0,3402233501.0,PA,65535.0,5.0,[],,,False,
327,1160011520.801532,54,203.140.25.50,192.168.1.1,6,64,40,80,1129,3402233501.0,906907654.0,A,5840.0,5.0,[],,,False,
328,1160011520.801566,60,192.168.1.1,202.189.151.5,6,128,40,1127,80,4134174501.0,3412290868.0,A,64136.0,5.0,[],,,False,
329,1160011520.801778,60,192.168.1.1,202.189.151.5,6,128,40,1127,80,4134174501.0,3412290868.0,FA,64136.0,5.0,[],,,False,
330,1160011520.801824,54,202.189.151.5,192.168.1.1,6,64,40,80,1127,3412290868.0,4134174502.0,A,5840.0,5.0,[],,,False,
331,1160011520.802974,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1128,3402338797.0,205523806.0,PA,5840.0,5.0,[],,,False,
332,1160011520.803187,54,203.140.25.50,192.168.1.1,6,64,40,80,1128,3402340196.0,205523806.0,FA,5840.0,5.0,[],,,False,
333,1160011520.804346,60,192.168.1.1,203.140.25.50,6,128,40,1128,80,205523806.0,3402340197.0,A,64136.0,5.0,[],,,False,
334,1160011520.804405,60,192.168.1.1,203.140.25.50,6,128,40,1128,80,205523806.0,3402340197.0,FA,64136.0,5.0,[],,,False,
335,1160011520.804434,54,203.140.25.50,192.168.1.1,6,64,40,80,1128,3402340197.0,205523807.0,A,5840.0,5.0,[],,,False,
336,1160011520.804456,62,192.168.1.1,203.140.25.50,6,128,48,1130,80,3013796126.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
337,1160011520.804534,62,203.140.25.50,192.168.1.1,6,64,48,80,1130,3407104927.0,3013796127.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
338,1160011520.805738,60,192.168.1.1,203.140.25.50,6,128,40,1130,80,3013796127.0,3407104928.0,A,65535.0,5.0,[],,,False,
339,1160011520.805798,139,192.168.1.1,203.140.25.50,6,128,125,1130,80,3013796127.0,3407104928.0,PA,65535.0,5.0,[],,,False,
340,1160011520.805831,54,203.140.25.50,192.168.1.1,6,64,40,80,1130,3407104928.0,3013796212.0,A,5840.0,5.0,[],,,False,
341,1160011520.805839,62,192.168.1.1,211.8.0.252,6,128,48,1131,80,144674461.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
342,1160011520.805883,62,211.8.0.252,192.168.1.1,6,64,48,80,1131,3411351244.0,144674462.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
343,1160011520.805967,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1129,3402233501.0,906907654.0,PA,5840.0,5.0,[],,,False,
344,1160011520.806195,54,203.140.25.50,192.168.1.1,6,64,40,80,1129,3402234900.0,906907654.0,FA,5840.0,5.0,[],,,False,
345,1160011520.806387,60,192.168.1.1,211.8.0.252,6,128,40,1131,80,144674462.0,3411351245.0,A,65535.0,5.0,[],,,False,
